filename,original_index
Image_13_LK_CIR_MER_RAB_FOT_233_251.png,1017
Image_13_LK_CIR_MER_RAB_FOT_372_361.png,1066
Image_13_LK_CIR_MER_RAB_FOT_481_191.png,1080
Image_13_LK_CIR_MER_RAB_FOT_509_331.png,1088
Image_13_LK_CIR_MER_RAB_FOT_623_396.png,1127
Image_13_LK_CIR_MER_RAB_FOT_650_456.png,1132
Image_13_LK_CIR_MER_RAB_FOT_954_241.png,1238
Image_23_LK_CIR_MER_RAB_FOT_133_476.png,1264
Image_23_LK_CIR_MER_RAB_FOT_323_246.png,1323
Image_23_LK_CIR_MER_RAB_FOT_323_256.png,1324
Image_23_LK_CIR_MER_RAB_FOT_42_231.png,1358
Image_23_LK_CIR_MER_RAB_FOT_42_241.png,1359
Image_23_LK_CIR_MER_RAB_FOT_470_291.png,1372
Image_23_LK_CIR_MER_RAB_FOT_485_301.png,1387
Image_23_LK_CIR_MER_RAB_FOT_485_351.png,1389
Image_23_LK_CIR_MER_RAB_FOT_618_206.png,1404
Image_23_LK_CIR_MER_RAB_FOT_637_341.png,1426
Image_23_LK_CIR_MER_RAB_FOT_691_321.png,1454
Image_23_LK_CIR_MER_RAB_FOT_691_371.png,1457
Image_33_LK_CIR_MER_RAB_FOT_978_291.png,1688
Image_0_LK_CIR_MER_RAB_FOT_185_1691.png,58
Image_23_LK_CIR_MER_RAB_FOT_572_321.png,1395
Image_33_LK_CIR_MER_RAB_FOT_130_386.png,1515
Image_33_LK_CIR_MER_RAB_FOT_159_141.png,1524
Image_33_LK_CIR_MER_RAB_FOT_369_311.png,1554
Image_33_LK_CIR_MER_RAB_FOT_60_321.png,1609
Image_33_LK_CIR_MER_RAB_FOT_60_331.png,1611
Image_33_LK_CIR_MER_RAB_FOT_893_201.png,1663
Image_43_LK_CIR_MER_RAB_FOT_171_396.png,1717
Image_43_LK_CIR_MER_RAB_FOT_179_231.png,1725
Image_43_LK_CIR_MER_RAB_FOT_387_291.png,1758
Image_43_LK_CIR_MER_RAB_FOT_387_301.png,1760
Image_43_LK_CIR_MER_RAB_FOT_739_306.png,1834
Image_53_LK_CIR_MER_RAB_FOT_100_331.png,1926
Image_53_LK_CIR_MER_RAB_FOT_143_406.png,1933
Image_53_LK_CIR_MER_RAB_FOT_316_221.png,2010
Image_53_LK_CIR_MER_RAB_FOT_439_181.png,2043
Image_53_LK_CIR_MER_RAB_FOT_569_296.png,2097
Image_53_LK_CIR_MER_RAB_FOT_709_301.png,2132
Image_53_LK_CIR_MER_RAB_FOT_965_281.png,2213
Image_0_LK_CIR_MER_RAB_FOT_172_491.png,47
Image_0_LK_CIR_MER_RAB_FOT_194_691.png,68
Image_0_LK_CIR_MER_RAB_FOT_264_661.png,129
Image_0_LK_CIR_MER_RAB_FOT_317_291.png,172
Image_0_LK_CIR_MER_RAB_FOT_493_491.png,300
Image_0_LK_CIR_MER_RAB_FOT_495_491.png,302
Image_0_LK_CIR_MER_RAB_FOT_588_396.png,370
Image_0_LK_CIR_MER_RAB_FOT_640_1006.png,425
Image_0_LK_CIR_MER_RAB_FOT_728_691.png,504
Image_0_LK_CIR_MER_RAB_FOT_748_1206.png,521
Image_0_LK_CIR_MER_RAB_FOT_748_1406.png,522
Image_0_LK_CIR_MER_RAB_FOT_748_1606.png,523
Image_0_LK_CIR_MER_RAB_FOT_750_291.png,525
Image_0_LK_CIR_MER_RAB_FOT_750_491.png,526
Image_0_LK_CIR_MER_RAB_FOT_817_191.png,586
Image_0_LK_CIR_MER_RAB_FOT_822_326.png,591
Image_0_LK_CIR_MER_RAB_FOT_829_891.png,599
Image_0_LK_CIR_MER_RAB_FOT_836_601.png,608
Image_0_LK_CIR_MER_RAB_FOT_836_801.png,609
Image_0_LK_CIR_MER_RAB_FOT_902_1091.png,668
Image_0_LK_CIR_MER_RAB_FOT_902_1191.png,669
Image_0_LK_CIR_MER_RAB_FOT_902_1291.png,670
Image_0_LK_CIR_MER_RAB_FOT_983_491.png,740
Image_0_LK_CIR_MER_RAB_FOT_986_1791.png,745
Image_0_LK_CIR_MER_RAB_FOT_996_486.png,757
Image_0_drivingAlone_RVL_RAB_FOT_472_1151.png,3161
Image_0_drivingAlone_RVL_RAB_FOT_74_971.png,3886
Image_0_LK_CIR_MER_RAB_FOT_342_191.png,200
Image_12_LK_CIR_MER_RAB_FOT_584_381.png,926
Image_12_LK_CIR_MER_RAB_FOT_719_271.png,936
Image_12_LK_CIR_MER_RAB_FOT_936_621.png,973
Image_13_LK_CIR_MER_RAB_FOT_121_331.png,984
Image_13_LK_CIR_MER_RAB_FOT_158_351.png,990
Image_13_LK_CIR_MER_RAB_FOT_332_206.png,1047
Image_13_LK_CIR_MER_RAB_FOT_616_251.png,1118
Image_13_LK_CIR_MER_RAB_FOT_819_201.png,1209
Image_13_LK_CIR_MER_RAB_FOT_819_211.png,1210
Image_13_LK_CIR_MER_RAB_FOT_92_171.png,1220
Image_23_LK_CIR_MER_RAB_FOT_628_201.png,1418
Image_23_LK_CIR_MER_RAB_FOT_753_201.png,1464
Image_0_LK_CIR_MER_RAB_FOT_297_601.png,158
Image_0_LK_CIR_MER_RAB_FOT_373_291.png,222
Image_13_LK_CIR_MER_RAB_FOT_989_216.png,1253
Image_23_LK_CIR_MER_RAB_FOT_322_171.png,1313
Image_23_LK_CIR_MER_RAB_FOT_323_166.png,1319
Image_23_LK_CIR_MER_RAB_FOT_470_221.png,1366
Image_23_LK_CIR_MER_RAB_FOT_641_241.png,1437
Image_23_LK_CIR_MER_RAB_FOT_789_221.png,1477
Image_23_LK_CIR_MER_RAB_FOT_842_221.png,1481
Image_33_LK_CIR_MER_RAB_FOT_55_131.png,1598
Image_33_LK_CIR_MER_RAB_FOT_859_161.png,1631
Image_53_LK_CIR_MER_RAB_FOT_674_221.png,2126
Image_0_LK_CIR_MER_RAB_FOT_336_591.png,191
Image_0_LK_CIR_MER_RAB_FOT_437_691.png,263
Image_0_LK_CIR_MER_RAB_FOT_631_646.png,415
Image_0_LK_CIR_MER_RAB_FOT_632_291.png,416
Image_0_LK_CIR_MER_RAB_FOT_667_436.png,446
Image_0_LK_CIR_MER_RAB_FOT_667_636.png,447
Image_0_LK_CIR_MER_RAB_FOT_790_391.png,562
Image_0_LK_CIR_MER_RAB_FOT_822_726.png,592
Image_0_LK_CIR_MER_RAB_FOT_836_401.png,607
Image_0_LK_CIR_MER_RAB_FOT_881_761.png,648
Image_0_LK_CIR_MER_RAB_FOT_983_591.png,741
Image_11_LK_CIR_MER_RAB_FOT_81_961.png,885
Image_0_drivingAlone_RVL_RAB_FOT_546_856.png,3359
Image_0_LK_CIR_MER_RAB_FOT_126_571.png,21
Image_0_LK_CIR_MER_RAB_FOT_149_251.png,31
Image_0_LK_CIR_MER_RAB_FOT_256_391.png,124
Image_0_LK_CIR_MER_RAB_FOT_631_546.png,414
Image_0_LK_CIR_MER_RAB_FOT_644_576.png,429
Image_0_LK_CIR_MER_RAB_FOT_764_491.png,540
Image_0_LK_CIR_MER_RAB_FOT_7_396.png,575
Image_0_LK_CIR_MER_RAB_FOT_89_391.png,665
Image_0_LK_CIR_MER_RAB_FOT_89_491.png,666
Image_0_drivingAlone_RVL_RAB_FOT_113_1291.png,2256
Image_0_drivingAlone_RVL_RAB_FOT_193_1311.png,2439
Image_0_drivingAlone_RVL_RAB_FOT_52_1036.png,3313
Image_0_drivingAlone_RVL_RAB_FOT_728_1076.png,3833
Image_0_drivingAlone_RVL_RAB_FOT_838_1071.png,4101
Image_0_LK_CIR_MER_RAB_FOT_221_991.png,103
Image_0_LK_CIR_MER_RAB_FOT_580_1026.png,362
Image_0_LK_CIR_MER_RAB_FOT_644_1576.png,428
Image_12_LK_CIR_MER_RAB_FOT_719_246.png,934
Image_12_LK_CIR_MER_RAB_FOT_936_586.png,971
Image_12_LK_CIR_MER_RAB_FOT_936_596.png,972
